%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=210803, 2016/06/19 16:44:7.04)
12 157  1.971590071514567600e+22 0 0 4.425086e+00 1.728492e+00 -1.660629e+00 -1.330991e-01 -4.184966e+00 -1.898781e-01 2.710464e+00 -7.776233e-01 -3.317439e+00 3.920799e-01 -2.142312e+00 -2.284136e+00 3.400764e+00 -7.881082e-01 3.315698e+00 -6.118112e-01 -2.583419e+00 -3.092012e+00 2.358083e+00 3.021617e+00 2.907816e+00 -6.483921e-01 1.125475e+00 2.762612e-01 6.129632e-01 -1.858947e+00 -2.801916e+00 2.918419e+00 
13 170  1.971590073489823100e+22 0 0 4.670040e+00 1.678405e+00 -2.049879e+00 -2.707588e-02 -3.482505e+00 -3.792079e-01 3.042752e+00 -8.767208e-01 -3.456058e+00 2.542848e-01 -2.651499e+00 -1.905837e+00 3.121316e+00 -7.891137e-01 3.866925e+00 -7.219284e-01 -3.028251e+00 -3.262410e+00 2.499119e+00 2.918087e+00 2.872033e+00 -6.472952e-01 9.662545e-01 4.901511e-01 8.112715e-01 -2.358655e+00 -2.764101e+00 3.307058e+00 
14 183  1.971590069368190400e+22 0 0 4.894963e+00 1.636133e+00 -1.782829e+00 -3.930032e-02 -3.610924e+00 -7.721637e-01 2.898111e+00 -4.148974e-01 -3.715487e+00 5.441996e-01 -2.818802e+00 -2.097906e+00 3.178869e+00 -1.920294e+00 3.689892e+00 -8.555976e-01 -2.736918e+00 -3.059131e+00 2.938503e+00 3.106365e+00 2.921467e+00 -1.295221e+00 1.642501e+00 5.429364e-01 5.247989e-01 -2.116465e+00 -2.926837e+00 2.968137e+00 
15 196  1.971590064699624300e+22 0 0 4.966433e+00 1.662932e+00 -1.756887e+00 -2.211520e-01 -3.781269e+00 -3.321843e-01 3.196566e+00 -5.865697e-01 -3.871930e+00 1.334991e-01 -3.297850e+00 -1.660169e+00 2.886755e+00 -1.061621e+00 3.641315e+00 -6.556631e-01 -3.101462e+00 -2.933272e+00 2.825611e+00 3.787995e+00 2.264066e+00 -7.593737e-01 1.404213e+00 4.532561e-01 6.775256e-01 -2.428397e+00 -3.392602e+00 3.331697e+00 
16 209  1.971590066181391800e+22 0 0 4.483631e+00 1.652194e+00 -1.239275e+00 -5.640912e-01 -4.242479e+00 -4.817051e-02 2.806986e+00 -5.906618e-01 -4.249823e+00 6.589969e-01 -2.833828e+00 -1.587569e+00 2.777563e+00 -1.405096e+00 3.081118e+00 -2.941887e-01 -3.036983e+00 -2.471307e+00 2.836254e+00 3.476132e+00 2.703887e+00 -1.090528e+00 1.280232e+00 3.486961e-01 9.702859e-01 -2.621660e+00 -3.330219e+00 2.865882e+00 
17 222  1.971590067618019800e+22 0 0 5.090600e+00 1.659981e+00 -1.229556e+00 1.741561e-02 -3.607565e+00 3.954166e-02 2.973413e+00 -5.331770e-01 -4.141178e+00 6.555379e-01 -2.828028e+00 -2.104418e+00 3.203249e+00 -1.797513e+00 3.851674e+00 -5.303416e-01 -3.199923e+00 -2.396761e+00 2.582529e+00 2.820139e+00 2.794220e+00 -2.903852e-01 9.191052e-01 4.468455e-01 3.811622e-01 -1.976140e+00 -3.136093e+00 2.952709e+00 
18 235  1.971590063376070100e+22 0 0 4.576552e+00 1.492683e+00 -1.046798e+00 -5.650933e-01 -3.791972e+00 5.196783e-01 3.572405e+00 -3.810969e-01 -3.655494e+00 6.850823e-01 -2.256917e+00 -2.225687e+00 2.947098e+00 -2.065503e+00 3.653683e+00 -1.152937e-01 -3.411477e+00 -2.493984e+00 2.464632e+00 3.452686e+00 2.659070e+00 -7.542999e-01 9.621708e-01 5.074586e-01 8.553437e-01 -2.360060e+00 -3.886806e+00 2.955644e+00 
19 248  1.971590062873256600e+22 0 0 4.447973e+00 1.352883e+00 -1.242318e+00 -3.350615e-01 -3.868192e+00 -8.077875e-02 2.941545e+00 -1.261596e-01 -4.075433e+00 5.005213e-01 -3.467087e+00 -2.282811e+00 3.128289e+00 -1.647579e+00 3.727122e+00 -9.148643e-01 -3.781914e+00 -2.201080e+00 3.050378e+00 3.259548e+00 2.876397e+00 -6.140359e-01 9.012044e-01 7.347710e-01 1.358199e+00 -1.950775e+00 -3.585563e+00 2.255139e+00 
20 261  1.971590058046064000e+22 0 0 5.013168e+00 1.425019e+00 -1.297312e+00 -4.861524e-01 -3.827149e+00 -1.784478e-01 3.269773e+00 -1.875526e-01 -3.290601e+00 6.182988e-02 -3.990095e+00 -2.011618e+00 3.134176e+00 -1.083946e+00 4.128423e+00 -3.402640e-01 -3.659502e+00 -2.407548e+00 2.400672e+00 3.372689e+00 2.127058e+00 -9.716988e-01 1.656262e+00 6.059893e-01 1.401829e+00 -1.784816e+00 -3.835552e+00 2.247445e+00 
21 274  1.971590058964293600e+22 0 0 5.200365e+00 1.369214e+00 -1.104794e+00 -3.258190e-01 -3.959231e+00 -3.688761e-01 2.854331e+00 1.875576e-01 -3.354956e+00 1.675842e-01 -3.649483e+00 -1.625109e+00 3.365184e+00 -2.008380e+00 3.833134e+00 4.440034e-02 -4.020907e+00 -1.793017e+00 2.315384e+00 3.287237e+00 2.549442e+00 -8.530578e-01 1.455522e+00 9.748780e-01 8.851864e-01 -1.992606e+00 -3.761921e+00 3.000251e+00 
