%  columns="iteration, evaluation, void, void, void, xmean" (startseed=208486, 2016/06/18 20:18:6.86)
10 141 0 0 0 1.261145e+00 -3.477559e+00 -3.303465e+00 -2.644671e-01 -2.476804e+00 3.384956e+00 4.275962e+00 6.718346e-01 -3.888209e+00 1.504941e+00 1.897297e+00 3.438595e+00 -5.416912e-01 -1.352563e+00 1.096898e+00 1.281597e+00 -1.063054e+00 3.022531e-01 -1.577763e+00 -1.585371e-01 -3.486106e-01 -1.004687e+00 1.024426e+00 2.249484e-01 -1.117623e+00 2.552177e+00 -3.116222e+00 -2.444006e+00 -3.214228e+00 -2.254586e+00 -2.017313e-02 2.605313e+00 
11 155 0 0 0 1.303191e+00 -3.532575e+00 -3.239698e+00 -1.330069e-01 -2.557489e+00 3.422359e+00 4.463734e+00 6.729069e-01 -3.714546e+00 1.627730e+00 1.946060e+00 3.529459e+00 -5.199231e-01 -1.394606e+00 1.229214e+00 1.322452e+00 -9.905418e-01 2.350292e-01 -1.571252e+00 2.936802e-02 -3.715048e-01 -1.054493e+00 9.133579e-01 3.421975e-01 -1.159638e+00 2.510378e+00 -2.827255e+00 -2.493037e+00 -3.166275e+00 -2.231559e+00 5.141538e-02 2.627252e+00 
12 169 0 0 0 1.271301e+00 -3.423887e+00 -3.258774e+00 -1.821593e-01 -2.461438e+00 3.336286e+00 4.504979e+00 7.624448e-01 -3.739410e+00 1.802466e+00 1.900302e+00 3.424283e+00 -6.184122e-01 -1.277098e+00 1.052091e+00 1.424680e+00 -9.868713e-01 2.832812e-01 -1.636356e+00 -4.464387e-02 -2.985993e-01 -9.575035e-01 7.070368e-01 3.673497e-01 -1.046086e+00 2.643187e+00 -2.653459e+00 -2.387969e+00 -3.110001e+00 -2.434087e+00 8.130430e-02 2.659460e+00 
13 183 0 0 0 1.141215e+00 -3.513591e+00 -3.228587e+00 -1.880196e-01 -2.614492e+00 3.304353e+00 4.497988e+00 5.569636e-01 -3.685041e+00 1.823656e+00 1.929551e+00 3.458483e+00 -6.306845e-01 -1.314503e+00 1.065439e+00 1.392472e+00 -1.138357e+00 3.014289e-01 -1.648842e+00 -6.122559e-02 -1.759026e-01 -1.019533e+00 6.849912e-01 2.418849e-01 -1.128514e+00 2.656247e+00 -2.491551e+00 -2.354866e+00 -3.051047e+00 -2.441305e+00 1.019717e-01 2.648914e+00 
14 197 0 0 0 1.102570e+00 -3.591188e+00 -3.203396e+00 -1.656711e-01 -2.681332e+00 3.309319e+00 4.293183e+00 5.341765e-01 -3.660712e+00 1.808865e+00 1.771441e+00 3.620494e+00 -5.173157e-01 -1.226969e+00 1.068644e+00 1.237457e+00 -9.820697e-01 2.900414e-01 -1.816125e+00 -9.411120e-02 -1.552093e-01 -8.790172e-01 5.870745e-01 1.259385e-01 -1.270676e+00 2.699537e+00 -2.302899e+00 -2.371495e+00 -3.214005e+00 -2.371885e+00 1.264557e-01 2.588184e+00 
15 211 0 0 0 1.092934e+00 -3.615720e+00 -3.022094e+00 -1.557308e-01 -2.618267e+00 3.263681e+00 4.144501e+00 5.829312e-01 -3.749787e+00 1.972635e+00 1.808746e+00 3.660209e+00 -5.002261e-01 -1.309051e+00 1.340682e+00 1.216911e+00 -8.957597e-01 2.183054e-01 -1.885139e+00 -2.541129e-01 -4.402044e-01 -1.121334e+00 5.940465e-01 2.750536e-01 -1.148717e+00 2.733745e+00 -2.075450e+00 -2.332572e+00 -3.153774e+00 -2.276965e+00 3.876674e-01 2.617885e+00 
16 225 0 0 0 1.163759e+00 -3.571279e+00 -2.999554e+00 -5.993332e-02 -2.732654e+00 3.268726e+00 4.327262e+00 5.775143e-01 -3.707551e+00 1.959186e+00 1.679538e+00 3.730487e+00 -3.747684e-01 -1.321314e+00 1.605979e+00 1.038943e+00 -7.669747e-01 1.016727e-01 -2.180720e+00 -2.810527e-01 -2.940317e-01 -9.872685e-01 6.182875e-01 3.936521e-01 -8.445206e-01 2.724381e+00 -2.076920e+00 -2.494957e+00 -3.299241e+00 -2.152356e+00 4.008715e-01 2.832940e+00 
17 239 0 0 0 1.302331e+00 -3.567110e+00 -3.011965e+00 1.712436e-03 -2.650007e+00 3.036107e+00 4.033008e+00 5.393911e-01 -3.852506e+00 2.049574e+00 1.640175e+00 3.621579e+00 -5.139850e-01 -1.203482e+00 1.367816e+00 1.129243e+00 -9.156943e-01 8.756383e-02 -2.234725e+00 -4.539868e-01 -3.385410e-01 -1.004434e+00 4.930735e-01 2.055653e-01 -1.072241e+00 2.920839e+00 -2.177076e+00 -2.537157e+00 -3.345651e+00 -2.266415e+00 3.699502e-01 2.853623e+00 
18 253 0 0 0 1.427165e+00 -3.737768e+00 -2.906334e+00 -1.887849e-01 -2.508058e+00 2.989194e+00 4.062706e+00 4.009000e-01 -3.980507e+00 2.036667e+00 1.617656e+00 3.569916e+00 -6.860542e-01 -1.344182e+00 1.355982e+00 1.112162e+00 -7.699589e-01 2.345547e-01 -2.090346e+00 -5.480196e-01 -4.939791e-01 -9.778732e-01 5.173477e-01 8.536860e-02 -9.886717e-01 2.937610e+00 -1.875766e+00 -2.457872e+00 -3.408467e+00 -2.328904e+00 4.963060e-01 2.862035e+00 
19 267 0 0 0 1.479656e+00 -3.660882e+00 -2.721198e+00 -2.022382e-01 -2.430680e+00 2.862598e+00 4.044974e+00 5.008542e-01 -4.015387e+00 2.063520e+00 1.722982e+00 3.823639e+00 -6.966757e-01 -1.255395e+00 1.186771e+00 1.007719e+00 -7.963767e-01 7.009072e-02 -1.915625e+00 -5.165829e-01 -6.298673e-01 -1.061143e+00 2.981334e-01 -2.600103e-02 -8.788801e-01 2.846378e+00 -1.700305e+00 -2.297001e+00 -3.489588e+00 -2.239638e+00 3.835135e-01 2.765252e+00 
