%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208486, 2016/06/18 20:18:6.86)
21 295 2.805479e-01 1.545285e+00  1.409639653118006700e-01  1.409639653118006700e-01  2.169374154585955200e-01  5.858109169632205200e-01
22 309 2.913392e-01 1.576356e+00  1.392006343633071000e-01  1.392006343633071000e-01  1.634205497254652400e-01  2.312060443234707400e+00
23 323 3.027380e-01 1.595675e+00  8.402586877072729100e-02  8.402586877072729100e-02  1.459848628923606500e-01  4.624553368094577700e-01
24 337 3.127490e-01 1.609138e+00  8.402586877072729100e-02  8.929965059152991700e-02  1.347243252268559600e-01  3.261103038236135000e-01
25 351 3.188259e-01 1.623460e+00  7.819373409623589500e-02  7.819373409623589500e-02  1.322879812902327300e-01  1.292563929368462800e+00
26 365 3.308387e-01 1.644248e+00  7.819373409623589500e-02  7.936662580367023800e-02  1.092569356789142000e-01  2.220930218927298900e-01
27 379 3.421397e-01 1.655116e+00  7.819373409623589500e-02  7.941628670008066300e-02  1.027620425096996300e-01  4.262180763593631500e-01
28 393 3.510135e-01 1.667869e+00  6.375045548170896200e-02  6.375045548170896200e-02  1.349390242806920400e-01  3.189281522650097000e-01
29 407 3.541026e-01 1.680183e+00  6.375045548170896200e-02  7.664449351727972700e-02  1.152937014926803400e-01  2.549066324908228500e-01
30 421 3.589939e-01 1.687263e+00  5.559956510600638800e-02  5.559956510600638800e-02  8.697342933514078100e-02  1.745270143093313500e-01
31 435 3.711559e-01 1.697425e+00  5.541613732879235900e-02  5.541613732879235900e-02  1.492361055545907100e-01  2.518383065614238600e-01
32 449 3.775235e-01 1.709921e+00  5.541613732879235900e-02  5.858465542229044500e-02  1.007716781721414900e-01  2.793460187135986000e-01
33 463 3.764398e-01 1.717632e+00  5.541613732879235900e-02  5.778508711649336200e-02  1.027165987638387300e-01  9.084896538792763800e-01
34 477 3.769008e-01 1.726174e+00  5.541613732879235900e-02  5.660995512373877300e-02  1.033512934422639300e-01  2.368836391002505100e-01
35 491 3.799226e-01 1.734071e+00  5.541613732879235900e-02  5.924938353336926800e-02  1.054902615471056700e-01  2.020065849805237100e-01
36 505 3.790927e-01 1.747298e+00  5.541613732879235900e-02  6.570170069656876300e-02  1.180802348083454500e-01  1.710924013078101800e+00
37 519 3.801619e-01 1.752697e+00  5.260611146265901200e-02  5.260611146265901200e-02  1.102988031054773500e-01  2.430861744832990600e-01
38 533 3.794252e-01 1.756886e+00  5.104022793799158100e-02  5.104022793799158100e-02  9.498830170228972400e-02  1.939721829615590200e-01
39 547 3.829418e-01 1.775344e+00  4.815739171030779300e-02  4.815739171030779300e-02  8.836039740474166400e-02  3.044666417097471300e-01
40 561 3.946999e-01 1.783119e+00  4.815739171030779300e-02  5.383417470828039100e-02  8.740530939892374200e-02  2.933046890356752500e-01
41 575 4.131122e-01 1.794815e+00  4.815739171030779300e-02  5.781007657115801200e-02  8.880923893911867000e-02  3.216969963518608900e-01
42 589 4.372409e-01 1.806970e+00  4.792598703174969600e-02  4.792598703174969600e-02  6.415998588990695600e-02  2.327159927709658300e-01
43 603 4.607763e-01 1.840177e+00  4.457487307092382300e-02  4.457487307092382300e-02  7.321325068454875900e-02  7.935652717229081400e-01
44 617 4.829810e-01 1.853654e+00  4.457487307092382300e-02  5.560857345837790000e-02  1.322025531305146600e-01  4.383626292966261700e-01
45 631 4.918222e-01 1.865825e+00  4.457487307092382300e-02  5.397939739360714500e-02  1.072163892094689400e-01  7.104883512191787500e-01
46 645 4.898661e-01 1.874456e+00  4.457487307092382300e-02  5.106593252265651000e-02  8.823577953570074800e-02  3.437306631944380700e-01
47 659 4.841441e-01 1.884425e+00  4.457487307092382300e-02  5.626724593886053100e-02  1.002537386082259500e-01  5.972913760635716300e-01
48 673 4.696971e-01 1.891507e+00  4.457487307092382300e-02  5.245252539529159100e-02  1.198735361012657800e-01  5.113707422424820200e-01
49 687 4.509739e-01 1.897413e+00  4.457487307092382300e-02  7.259251766114746500e-02  1.760830311280664200e-01  4.884192938382086500e-01
50 701 4.358655e-01 1.900855e+00  4.457487307092382300e-02  5.339336504017418200e-02  1.865587037828904100e-01  5.851555833345184500e-01
51 715 4.227752e-01 1.902203e+00  4.457487307092382300e-02  5.340978814425369200e-02  9.217749871432873200e-02  2.823894979102283800e-01
52 729 4.161088e-01 1.905138e+00  4.457487307092382300e-02  5.140406259369826500e-02  9.079375173478372600e-02  5.012428745885790800e-01
53 743 4.044954e-01 1.904453e+00  4.404096280392908600e-02  4.404096280392908600e-02  1.376020193873432900e-01  3.114251624784271100e-01
