%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=210803, 2016/06/19 16:44:7.04)
15 196 3.230707e-01 0 0 3.209992e-01 3.226826e-01 3.227854e-01 3.272603e-01 3.205228e-01 3.187837e-01 3.191768e-01 3.273303e-01 3.192554e-01 3.188467e-01 3.218350e-01 3.207854e-01 3.133201e-01 3.331302e-01 3.235882e-01 3.280300e-01 3.179105e-01 3.201849e-01 3.158798e-01 3.285892e-01 3.270462e-01 3.202952e-01 3.273243e-01 3.208726e-01 3.212756e-01 3.159188e-01 3.372709e-01 3.203320e-01 
16 209 3.391208e-01 0 0 3.368505e-01 3.380937e-01 3.391534e-01 3.438495e-01 3.366103e-01 3.338325e-01 3.354008e-01 3.446775e-01 3.360649e-01 3.346459e-01 3.377095e-01 3.367161e-01 3.284979e-01 3.496597e-01 3.412644e-01 3.470148e-01 3.330239e-01 3.355360e-01 3.317093e-01 3.451955e-01 3.444908e-01 3.367169e-01 3.439832e-01 3.360457e-01 3.371190e-01 3.319148e-01 3.541842e-01 3.354596e-01 
17 222 3.442071e-01 0 0 3.417466e-01 3.432048e-01 3.452697e-01 3.487913e-01 3.407224e-01 3.386376e-01 3.399648e-01 3.504446e-01 3.411808e-01 3.389574e-01 3.423658e-01 3.411119e-01 3.326804e-01 3.557816e-01 3.457957e-01 3.526070e-01 3.383382e-01 3.408995e-01 3.356638e-01 3.511047e-01 3.499551e-01 3.420384e-01 3.485900e-01 3.404493e-01 3.416329e-01 3.372176e-01 3.585488e-01 3.396039e-01 
18 235 3.513763e-01 0 0 3.490847e-01 3.494520e-01 3.532984e-01 3.565946e-01 3.475020e-01 3.457447e-01 3.497909e-01 3.589998e-01 3.483333e-01 3.450696e-01 3.493982e-01 3.473123e-01 3.387448e-01 3.663631e-01 3.536835e-01 3.606223e-01 3.447571e-01 3.471937e-01 3.423481e-01 3.596180e-01 3.567392e-01 3.486194e-01 3.549109e-01 3.472076e-01 3.481964e-01 3.430628e-01 3.668158e-01 3.465154e-01 
19 248 3.562745e-01 0 0 3.531875e-01 3.538990e-01 3.593325e-01 3.617133e-01 3.516930e-01 3.497012e-01 3.543703e-01 3.656787e-01 3.529084e-01 3.491070e-01 3.563802e-01 3.526018e-01 3.425292e-01 3.718259e-01 3.582573e-01 3.675171e-01 3.506884e-01 3.519706e-01 3.472096e-01 3.638316e-01 3.626887e-01 3.524888e-01 3.592387e-01 3.515366e-01 3.538106e-01 3.478608e-01 3.717980e-01 3.519550e-01 
20 261 3.612597e-01 0 0 3.577297e-01 3.604114e-01 3.633302e-01 3.671245e-01 3.557988e-01 3.537711e-01 3.605847e-01 3.721164e-01 3.571470e-01 3.533665e-01 3.654443e-01 3.564608e-01 3.461650e-01 3.771125e-01 3.634724e-01 3.726776e-01 3.553857e-01 3.568983e-01 3.526322e-01 3.685427e-01 3.680787e-01 3.562986e-01 3.645223e-01 3.557662e-01 3.590755e-01 3.522186e-01 3.770212e-01 3.576161e-01 
21 274 3.725378e-01 0 0 3.702668e-01 3.714865e-01 3.742036e-01 3.786197e-01 3.665802e-01 3.639338e-01 3.715641e-01 3.854553e-01 3.673881e-01 3.636673e-01 3.786663e-01 3.670425e-01 3.560722e-01 3.903285e-01 3.745882e-01 3.853705e-01 3.690699e-01 3.682521e-01 3.635326e-01 3.790685e-01 3.793897e-01 3.663576e-01 3.752612e-01 3.678484e-01 3.704774e-01 3.626444e-01 3.880782e-01 3.681528e-01 
22 287 3.714407e-01 0 0 3.689364e-01 3.697323e-01 3.730436e-01 3.769227e-01 3.656686e-01 3.633884e-01 3.694969e-01 3.846276e-01 3.652435e-01 3.619978e-01 3.799306e-01 3.647967e-01 3.544124e-01 3.896195e-01 3.728364e-01 3.836386e-01 3.687960e-01 3.665574e-01 3.622249e-01 3.772283e-01 3.780519e-01 3.660314e-01 3.745492e-01 3.667890e-01 3.687965e-01 3.607318e-01 3.863921e-01 3.670942e-01 
23 300 3.678547e-01 0 0 3.653145e-01 3.656629e-01 3.697629e-01 3.727354e-01 3.625426e-01 3.589700e-01 3.655577e-01 3.828374e-01 3.618530e-01 3.580189e-01 3.770980e-01 3.610126e-01 3.501906e-01 3.871673e-01 3.684495e-01 3.795355e-01 3.655026e-01 3.628401e-01 3.587991e-01 3.728751e-01 3.752108e-01 3.630535e-01 3.704194e-01 3.625639e-01 3.645126e-01 3.563465e-01 3.818135e-01 3.627737e-01 
24 313 3.614591e-01 0 0 3.586823e-01 3.589467e-01 3.643902e-01 3.659797e-01 3.553580e-01 3.523781e-01 3.586890e-01 3.759400e-01 3.556072e-01 3.520344e-01 3.709989e-01 3.552277e-01 3.451712e-01 3.809452e-01 3.629286e-01 3.723547e-01 3.590202e-01 3.560466e-01 3.528499e-01 3.658635e-01 3.679828e-01 3.564756e-01 3.636974e-01 3.556026e-01 3.572705e-01 3.497032e-01 3.752111e-01 3.562929e-01 
25 326 3.572140e-01 0 0 3.536325e-01 3.535183e-01 3.601850e-01 3.609405e-01 3.503350e-01 3.482638e-01 3.539709e-01 3.738453e-01 3.524553e-01 3.471913e-01 3.674680e-01 3.500719e-01 3.411306e-01 3.768999e-01 3.587712e-01 3.686455e-01 3.543519e-01 3.522637e-01 3.487280e-01 3.612320e-01 3.633434e-01 3.521453e-01 3.591059e-01 3.506136e-01 3.527649e-01 3.450803e-01 3.698701e-01 3.521819e-01 
26 339 3.576365e-01 0 0 3.539908e-01 3.537984e-01 3.596331e-01 3.607000e-01 3.505065e-01 3.510552e-01 3.535754e-01 3.745591e-01 3.530529e-01 3.469880e-01 3.679967e-01 3.520598e-01 3.422450e-01 3.773391e-01 3.593454e-01 3.687729e-01 3.559504e-01 3.519059e-01 3.499356e-01 3.618697e-01 3.648828e-01 3.522295e-01 3.589628e-01 3.502230e-01 3.521448e-01 3.449287e-01 3.692892e-01 3.534473e-01 
27 352 3.667075e-01 0 0 3.621253e-01 3.616550e-01 3.685093e-01 3.691071e-01 3.605886e-01 3.598807e-01 3.624097e-01 3.856175e-01 3.614696e-01 3.550763e-01 3.778533e-01 3.601459e-01 3.507329e-01 3.870851e-01 3.680105e-01 3.779653e-01 3.646282e-01 3.598445e-01 3.596800e-01 3.709555e-01 3.764126e-01 3.607520e-01 3.671948e-01 3.583393e-01 3.608021e-01 3.531114e-01 3.780569e-01 3.646369e-01 
28 365 3.831303e-01 0 0 3.782910e-01 3.769875e-01 3.853086e-01 3.845984e-01 3.767264e-01 3.798463e-01 3.789458e-01 4.057279e-01 3.768695e-01 3.706539e-01 3.988907e-01 3.791673e-01 3.657525e-01 4.053013e-01 3.859089e-01 3.954784e-01 3.808500e-01 3.752097e-01 3.763051e-01 3.900371e-01 3.943376e-01 3.766626e-01 3.833248e-01 3.749451e-01 3.767673e-01 3.681439e-01 3.946238e-01 3.834999e-01 
29 378 4.030506e-01 0 0 3.973436e-01 3.977266e-01 4.052826e-01 4.036618e-01 3.969397e-01 4.010658e-01 3.988613e-01 4.309300e-01 3.959716e-01 3.889394e-01 4.202022e-01 3.984925e-01 3.844648e-01 4.256783e-01 4.069614e-01 4.155303e-01 3.996823e-01 3.937302e-01 3.958255e-01 4.143699e-01 4.164886e-01 3.952909e-01 4.030190e-01 3.942804e-01 3.956667e-01 3.869258e-01 4.161344e-01 4.074711e-01 
30 391 4.198389e-01 0 0 4.142220e-01 4.134887e-01 4.231556e-01 4.191848e-01 4.156988e-01 4.194759e-01 4.151394e-01 4.529234e-01 4.117698e-01 4.045839e-01 4.392021e-01 4.154728e-01 4.024092e-01 4.430460e-01 4.251342e-01 4.322010e-01 4.152479e-01 4.093672e-01 4.133973e-01 4.319688e-01 4.341330e-01 4.108125e-01 4.198736e-01 4.123606e-01 4.111056e-01 4.026992e-01 4.340190e-01 4.261509e-01 
